month,semaforo_ord,conglomerado,num_conglomerados,aligned_aco_lag1,aligned_aco_lag2,log_cc,log_co,month_sin,month_cos,mes,anio,z_score_aco_lag1,sst,sst_anom,uwnd_ms,vwnd_ms,onshore_cozumel_ms
2024-03,,1,0.0,,,,,1.0,6.123233995736766e-17,3,2024,,26.55,0.1514285714285748,-3.22,0.87,-1.64
2024-04,,1,0.0,,,,,0.8660254037844387,-0.4999999999999998,4,2024,,27.11,0.08571428571428541,-4.45,0.08,-3.06
2024-05,3.0,1,3.0,,,,,0.49999999999999994,-0.8660254037844387,5,2024,,28.55,0.379999999999999,-3.89,2.07,-1.28
2024-06,1.0,1,3.0,,,,,1.2246467991473532e-16,-1.0,6,2024,,29.39,0.495000000000001,-3.71,1.8,-1.33
2024-07,1.0,1,0.0,,,,,-0.4999999999999997,-0.8660254037844388,7,2024,,29.61,0.16000000000000014,-3.59,-0.37,-2.77
2024-08,1.0,1,3.0,,,,,-0.8660254037844384,-0.5000000000000004,8,2024,,30.3,0.36499999999999844,-1.9,-0.55,-1.72
2024-09,1.0,1,1.5,,,,,-1.0,-1.8369701987210297e-16,9,2024,,30.57,0.5533333333333346,-1.66,0.45,-0.84
2024-10,1.0,0,0.0,,,,,-0.8660254037844386,0.5000000000000001,10,2024,,29.54,0.08999999999999986,-2.4,-2.05,-3.11
2025-03,2.0,0,0.0,,,-3.5462693628725255,-3.099094764371278,1.0,6.123233995736766e-17,3,2025,,26.82,0.4214285714285744,-3.77,-0.29,-2.84
2025-04,1.0,0,0.0,-1.242190550485476,,-4.615826665105269,-2.0083420831396155,0.8660254037844387,-0.4999999999999998,4,2025,0.17444441460542198,26.82,-0.20428571428571374,-4.56,-0.71,-3.69
2025-05,1.0,0,0.0,-0.8363134086458271,-1.242190550485476,-2.7359096825575215,-1.335110868960384,0.49999999999999994,-0.8660254037844387,5,2025,0.1610749857106754,28.09,-0.08000000000000185,-3.91,1.22,-1.88
2025-06,5.0,0,0.0,-0.5706994840369148,-0.8363134086458271,-2.8557964158681943,-1.3164418554909316,1.2246467991473532e-16,-1.0,6,2025,0.25522890263849674,29.08,0.18499999999999872,-4.48,0.61,-2.7
2025-07,5.0,0,0.0,-0.5711127486867438,-0.5706994840369148,-2.3097003364082407,-0.8658424170062688,-0.4999999999999997,-0.8660254037844388,7,2025,0.22186695193639047,29.32,-0.129999999999999,-3.59,-0.73,-3.03
2025-08,4.0,0,2.0,-0.30662434859617493,-0.5711127486867438,-3.881639252290045,-1.7782234893560833,-0.8660254037844384,-0.5000000000000004,8,2025,0.32486351032424454,30.18,0.24499999999999744,-2.37,-0.54,-2.04
2025-09,4.0,1,3.0,-2.1500700271972963,-0.30662434859617493,-4.256275358821586,-1.9662842924957367,-1.0,-1.8369701987210297e-16,9,2025,-0.43347077309015625,30.25,0.23333333333333428,-1.65,-0.54,-1.53
2025-10,3.0,0,3.0,-2.966037538804116,-2.1500700271972963,-5.5322688638621775,-3.999052509854804,-0.8660254037844386,0.5000000000000001,10,2025,-0.819597477938403,29.84,0.39000000000000057,-1.51,-2.14,-2.56
2025-11,3.0,0,0.5,-5.005349140457838,-2.966037538804116,-8.746600066455644,-5.8031605872912735,-0.5000000000000004,0.8660254037844384,11,2025,-1.8731485928125087,28.51,0.21666666666666856,-3.29,-2.6,-4.12
2025-12,3.0,0,1.0,-3.9442362761559098,-5.005349140457838,-6.1026191494469755,-4.771578906216417,-2.4492935982947064e-16,1.0,12,2025,-0.7416671593987402,27.59,0.3500000000000014,-3.44,-2.33,-4.04
2026-01,3.0,1,5.0,-2.7985549291071496,-3.9442362761559098,-4.406483193127223,-4.092735796979131,0.49999999999999994,0.8660254037844387,1,2026,-0.1316234895504228,26.6,0.18428571428571772,-2.67,-2.99,-3.96
2026-02,3.0,1,6.0,-2.0461924617508904,-2.7985549291071496,-3.5587287345303666,-4.031426046334727,0.8660254037844386,0.5000000000000001,2,2026,0.05316154112187545,25.58,-0.4314285714285724,-3.11,-1.93,-3.53
2026-03,4.0,1,6.0,-1.3788620453322138,-2.0461924617508904,-3.5422195833305605,-4.371997019835059,1.0,6.123233995736766e-17,3,2026,0.19548288714990592,26.29,-0.10857142857142676,,,
2026-04,6.0,1,6.0,-1.6889357631524833,-1.3788620453322138,-2.815454453768509,-1.974714019119876,0.8660254037844387,-0.4999999999999998,4,2026,0.014837810093117005,26.84,-0.18428571428571416,,,
2026-05,6.0,1,5.0,-1.1226601310924467,-1.6889357631524833,-2.6422132904247633,-1.4511956104353738,0.49999999999999994,-0.8660254037844387,5,2026,0.05655920044026634,,,,,
