year,month,biomasa_mt
2012,1,0.113
2012,2,0.084
2012,3,0.054
2012,4,0.168
2012,5,0.062
2012,6,0.077
2012,7,0.213
2012,8,0.365
2012,9,0.314
2012,10,0.417
2012,11,0.295
2012,12,0.209
2013,1,0.078
2013,2,0.016
2013,3,0.067
2013,4,0.112
2013,5,0.178
2013,6,0.044
2013,7,0.047
2013,8,0.092
2013,9,0.104
2013,10,0.354
2013,11,0.541
2013,12,0.207
2014,1,0.035
2014,2,0.025
2014,3,0.03
2014,4,0.02
2014,5,0.049
2014,6,0.412
2014,7,0.67
2014,8,1.546
2014,9,2.183
2014,10,3.405
2014,11,2.151
2014,12,1.977
2015,1,0.919
2015,2,0.533
2015,3,0.285
2015,4,0.24
2015,5,0.42
2015,6,0.965
2015,7,1.717
2015,8,3.784
2015,9,2.234
2015,10,1.733
2015,11,0.624
2015,12,0.236
2016,1,0.123
2016,2,0.063
2016,3,0.056
2016,4,0.076
2016,5,0.003
2016,6,0.01
2016,7,0.043
2016,8,0.127
2016,9,0.099
2016,10,0.042
2016,11,0.077
2016,12,0.103
2017,1,0.141
2017,2,0.298
2017,3,0.321
2017,4,0.073
2017,5,0.053
2017,6,0.272
2017,7,1.793
2017,8,1.404
2017,9,1.679
2017,10,0.233
2017,11,0.27
2017,12,0.571
2018,1,0.564
2018,2,1.615
2018,3,3.341
2018,4,3.408
2018,5,5.349
2018,6,5.414
2018,7,4.32
2018,8,5.573
2018,9,4.261
2018,10,1.609
2018,11,0.949
2018,12,0.744
2019,1,1.776
2019,2,2.38
2019,3,3.051
2019,4,6.753
2019,5,3.255
2019,6,3.411
2019,7,4.963
2019,8,4.82
2019,9,1.155
2019,10,0.214
2019,11,0.13
2019,12,0.048
2020,1,0.055
2020,2,0.098
2020,3,0.88
2020,4,2.721
2020,5,2.909
2020,6,4.619
2020,7,4.134
2020,8,1.986
2020,9,0.943
2020,10,0.209
2020,11,0.196
2020,12,0.337
2021,1,0.082
2021,2,0.107
2021,3,0.398
2021,4,1.461
2021,5,3.978
2021,6,4.025
2021,7,5.033
2021,8,4.845
2021,9,4.956
2021,10,1.241
2021,11,0.244
2021,12,0.209
2022,1,0.868
2022,2,1.562
2022,3,3.876
2022,4,3.924
2022,5,5.741
2022,6,8.045
2022,7,9.338
2022,8,9.574
2022,9,7.485
2022,10,1.216
2022,11,0.392
2022,12,0.565
2023,1,0.881
2023,2,2.079
2023,3,4.728
2023,4,6.971
2023,5,6.966
2023,6,4.739
2023,7,1.049
2023,8,5.108
2023,9,4.904
2023,10,1.438
2023,11,0.546
2023,12,0.243
2024,1,0.17
2024,2,0.302
2024,3,1.444
2024,4,2.963
2024,5,5.143
2024,6,3.739
2024,7,1.837
2024,8,3.073
2024,9,2.592
2024,10,0.998
2024,11,1.3
2024,12,0.998
2025,1,0.659
2025,2,1.201
2025,3,4.817
2025,4,11.157
2025,5,17.912
2025,6,6.723
2025,7,15.548
2025,8,14.468
2025,9,10.428
2025,10,3.804
2025,11,0.638
2025,12,1.429
2026,1,3.981
2026,2,2.924
2026,3,7.698
2026,4,22.627
