time,year,month,sst_c,month_key
2020-01-01,2020,1,26.62,2020-01
2020-02-01,2020,2,26.27,2020-02
2020-03-01,2020,3,26.42,2020-03
2020-04-01,2020,4,27.54,2020-04
2020-05-01,2020,5,28.29,2020-05
2020-06-01,2020,6,28.63,2020-06
2020-07-01,2020,7,29.45,2020-07
2020-08-01,2020,8,29.8,2020-08
2020-09-01,2020,9,30.08,2020-09
2020-10-01,2020,10,29.11,2020-10
2020-11-01,2020,11,27.95,2020-11
2020-12-01,2020,12,26.7,2020-12
2021-01-01,2021,1,25.91,2021-01
2021-02-01,2021,2,25.78,2021-02
2021-03-01,2021,3,25.99,2021-03
2021-04-01,2021,4,26.77,2021-04
2021-05-01,2021,5,28.02,2021-05
2021-06-01,2021,6,28.66,2021-06
2021-07-01,2021,7,29.05,2021-07
2021-08-01,2021,8,29.42,2021-08
2021-09-01,2021,9,29.25,2021-09
2021-10-01,2021,10,29.34,2021-10
2021-11-01,2021,11,28.2,2021-11
2021-12-01,2021,12,27.34,2021-12
2022-01-01,2022,1,26.6,2022-01
2022-02-01,2022,2,25.93,2022-02
2022-03-01,2022,3,26.38,2022-03
2022-04-01,2022,4,26.94,2022-04
2022-05-01,2022,5,27.73,2022-05
2022-06-01,2022,6,28.22,2022-06
2022-07-01,2022,7,29.39,2022-07
2022-08-01,2022,8,29.58,2022-08
2022-09-01,2022,9,29.53,2022-09
2022-10-01,2022,10,28.9,2022-10
2022-11-01,2022,11,28.2,2022-11
2022-12-01,2022,12,27.31,2022-12
2023-01-01,2023,1,26.26,2023-01
2023-02-01,2023,2,26.07,2023-02
2023-03-01,2023,3,26.34,2023-03
2023-04-01,2023,4,27.15,2023-04
2023-05-01,2023,5,28.34,2023-05
2023-06-01,2023,6,29.39,2023-06
2023-07-01,2023,7,29.88,2023-07
2023-08-01,2023,8,30.33,2023-08
2023-09-01,2023,9,30.42,2023-09
2023-10-01,2023,10,29.97,2023-10
2023-11-01,2023,11,28.44,2023-11
2023-12-01,2023,12,27.47,2023-12
2024-01-01,2024,1,26.47,2024-01
2024-02-01,2024,2,25.97,2024-02
2024-03-01,2024,3,26.55,2024-03
2024-04-01,2024,4,27.11,2024-04
2024-05-01,2024,5,28.55,2024-05
2024-06-01,2024,6,29.39,2024-06
2024-07-01,2024,7,29.61,2024-07
2024-08-01,2024,8,30.3,2024-08
2024-09-01,2024,9,30.57,2024-09
2024-10-01,2024,10,29.54,2024-10
2024-11-01,2024,11,28.46,2024-11
2024-12-01,2024,12,27.03,2024-12
2025-01-01,2025,1,26.45,2025-01
2025-02-01,2025,2,26.48,2025-02
2025-03-01,2025,3,26.82,2025-03
2025-04-01,2025,4,26.82,2025-04
2025-05-01,2025,5,28.09,2025-05
2025-06-01,2025,6,29.08,2025-06
2025-07-01,2025,7,29.32,2025-07
2025-08-01,2025,8,30.18,2025-08
2025-09-01,2025,9,30.25,2025-09
2025-10-01,2025,10,29.84,2025-10
2025-11-01,2025,11,28.51,2025-11
2025-12-01,2025,12,27.59,2025-12
2026-01-01,2026,1,26.6,2026-01
2026-02-01,2026,2,25.58,2026-02
2026-03-01,2026,3,26.29,2026-03
2026-04-01,2026,4,26.84,2026-04
